"id","device_id","timestamp","latitude","longitude","level","asu","rsrp","rssi","dbm","rsrq","network_type","operator","cell_id","physical_cell_id","tracking_area_code","created_at"
"1","device_001","2024-01-15 10:30:00","30.0444","31.2357","-75",,"-95","-65","-75",,"LTE","Vodafone Egypt","12345",,,"2025-11-22 13:15:01.144268"
"2","docker_test","2025-11-22 14:23:43.51899","30.0444","31.2357","-75",,,,,,"LTE",,,,,"2025-11-22 14:23:43.659277"
"3","azure_test_001","2025-11-22 15:20:36.281205","30.0444","31.2357","-75",,,,,,"LTE","Vodafone",,,,"2025-11-22 15:20:36.461857"
"4","12345678","2025-11-22 16:28:36.835245","0","50.7333","1","19","-103","-103","-122","-20","LTE","Vodafone","-","70","65536","2025-11-22 16:28:37.010977"
"5","12345678","2025-11-22 16:35:56.758273","0","50.7333","1","19","-103","-103","-122","-20","LTE","Vodafone","-","70","65536","2025-11-22 16:35:56.940038"
"6","12345678","2025-11-22 16:35:58.20512","0","50.7333","1","19","-103","-103","-122","-20","LTE","Vodafone","-","70","65536","2025-11-22 16:35:58.387426"
"7","12345678","2025-11-22 16:51:07.010229","0","50.7333","1","19","-103","-103","-122","-20","LTE","Vodafone","-","70","65536","2025-11-22 16:51:08.626471"
"8","12345678","2025-11-22 17:02:38.115097","0","50.7333","1","19","-103","-103","-122","-20","LTE","Vodafone","-","70","65536","2025-11-22 17:02:39.167007"
"9","12345678","2025-11-22 17:02:39.381146","0","50.7333","1","19","-103","-103","-122","-20","LTE","Vodafone","-","70","65536","2025-11-22 17:02:39.561983"
"10","12345678","2025-11-22 17:02:40.715514","0","50.7333","1","19","-103","-103","-122","-20","LTE","Vodafone","-","70","65536","2025-11-22 17:02:40.888755"
"11","12345678","2025-11-22 17:02:40.16796","0","50.7333","1","19","-103","-103","-122","-20","LTE","Vodafone","-","70","65536","2025-11-22 17:02:41.331161"
"12","5476990e5eb3c2c7","2025-11-22 17:58:10.279227","0","50.7333","3","53","-87","-57","-87","-15","LTE","Egyptian and Proud","-","373","0","2025-11-22 17:58:11.346026"
"13","5476990e5eb3c2c7","2025-11-22 18:08:15.383675","30","30","3","45","-95","-57","-95","-18","LTE","Egyptian and Proud","-","213","0","2025-11-22 18:08:15.56554"
"14","5476990e5eb3c2c7","2025-11-22 19:32:43.537112","30","30","3","49","-91","-57","-91","-16","LTE","Egyptian and Proud","-","213","0","2025-11-22 19:32:44.713309"
"15","5476990e5eb3c2c7","2025-11-22 19:41:04.022927","30","30","3","50","-90","-55","-90","-17","LTE","Egyptian and Proud","-","213","0","2025-11-22 19:41:04.200357"
"16","4b03d053abae639b","2025-11-23 17:35:13.26624","30","30","2","39","-101","-87","-101","-15","LTE","Vodafone - Egypt is Proud - GEM","-","71","21250","2025-11-23 17:35:13.439225"
"17","3a0d6425e3f9d60e","2025-11-23 19:20:19.811293","30","30","1","34","-106","-89","-106","-16","LTE","Vodafone - Egypt is Proud - GEM","-","70","65535","2025-11-23 19:20:20.880414"
"18","3a0d6425e3f9d60e","2025-11-23 19:20:52.991305","30","30","1","33","-107","-93","-107","-15","LTE","Vodafone - Egypt is Proud - GEM","-","70","65535","2025-11-23 19:20:53.159656"
"19","3a0d6425e3f9d60e","2025-11-23 19:25:30.830008","30","30","1","33","-107","-91","-107","-17","LTE","Vodafone - Egypt is Proud - GEM","-","70","65535","2025-11-23 19:25:31.002384"
"20","3a0d6425e3f9d60e","2025-11-23 19:26:27.259686","30","30","2","42","-98","-89","-98","-9","LTE","Vodafone - Egypt is Proud - GEM","-","71","21250","2025-11-23 19:26:27.431361"
"21","3a0d6425e3f9d60e","2025-11-23 19:27:57.735954","30","30","2","44","-96","-85","-96","-12","LTE","Vodafone - Egypt is Proud - GEM","-","71","21250","2025-11-23 19:27:57.907482"
"22","3a0d6425e3f9d60e","2025-11-23 19:28:12.678382","30","30","2","43","-97","-87","-97","-11","LTE","Vodafone - Egypt is Proud - GEM","-","71","21250","2025-11-23 19:28:12.849987"
"23","3a0d6425e3f9d60e","2025-11-23 19:31:18.050722","30","30","2","41","-99","-89","-99","-10","LTE","Vodafone - Egypt is Proud - GEM","-","71","21250","2025-11-23 19:31:18.218645"
"24","4b03d053abae639b","2025-11-23 19:38:18.644407","30","30","1","30","-110","-103","-110","-8","LTE","Vodafone - Egypt is Proud - GEM","-","71","21250","2025-11-23 19:38:18.816358"
"25","3a0d6425e3f9d60e","2025-11-23 23:51:37.748815","30","30","1","32","-108","-99","-108","-8","LTE","Vodafone - Egypt is Proud - GEM","-","71","21250","2025-11-23 23:51:38.822993"
"26","3a0d6425e3f9d60e","2025-11-23 23:52:21.313432","30","30","0","23","-117","-99","-117","-19","LTE","Vodafone - Egypt is Proud - GEM","-","70","65535","2025-11-23 23:52:21.485122"
"27","3a0d6425e3f9d60e","2025-11-23 23:53:22.887816","30","30","0","22","-118","-99","-118","-19","LTE","Vodafone - Egypt is Proud - GEM","-","70","65535","2025-11-23 23:53:23.059149"
"28","3a0d6425e3f9d60e","2025-11-23 23:55:34.047814","30","30","1","25","-115","-97","-115","-19","LTE","Vodafone - Egypt is Proud - GEM","-","70","65535","2025-11-23 23:55:34.219251"
"29","3a0d6425e3f9d60e","2025-11-23 23:55:49.916044","30","30","1","25","-115","-95","-115","-20","LTE","Vodafone - Egypt is Proud - GEM","-","70","65535","2025-11-23 23:55:50.087843"
"30","3a0d6425e3f9d60e","2025-11-23 23:56:46.339695","30","30","0","24","-116","-97","-116","-18","LTE","Vodafone - Egypt is Proud - GEM","-","70","65535","2025-11-23 23:56:46.510832"
"31","3a0d6425e3f9d60e","2025-11-23 23:58:20.635165","30","30","0","18","-122","-103","-122","-19","LTE","Vodafone - Egypt is Proud - GEM","-","70","65535","2025-11-23 23:58:20.80694"
"32","3a0d6425e3f9d60e","2025-11-24 00:00:15.363555","30","30","2","37","-103","-95","-103","-8","LTE","Vodafone - Egypt is Proud - GEM","-","71","21250","2025-11-24 00:00:15.535347"
"33","3a0d6425e3f9d60e","2025-11-24 18:38:08.283776","30","30","2","35","-105","-87","-105","-18","LTE","Vodafone - Egypt is Proud - GEM","-","70","65535","2025-11-24 18:38:08.460012"
"34","3a0d6425e3f9d60e","2025-11-24 18:49:45.59756","30","30","1","32","-108","-93","-108","-16","LTE","Vodafone - Egypt is Proud - GEM","-","71","21250","2025-11-24 18:49:46.735854"
"35","3a0d6425e3f9d60e","2025-11-24 18:51:01.729773","30","30","1","33","-107","-93","-107","-13","LTE","Vodafone - Egypt is Proud - GEM","-","71","21250","2025-11-24 18:51:01.902638"
"36","3a0d6425e3f9d60e","2025-11-24 18:52:54.160848","30","30","1","25","-115","-97","-115","-19","LTE","Vodafone - Egypt is Proud - GEM","-","70","65535","2025-11-24 18:52:54.33293"
"37","3a0d6425e3f9d60e","2025-11-24 19:11:19.442684","30","30","2","39","-101","-87","-101","-14","LTE","Vodafone - Egypt is Proud - GEM","-","71","21250","2025-11-24 19:11:20.514805"
"38","3a0d6425e3f9d60e","2025-11-24 19:43:21.053278","30","30","2","41","-99","-91","-99","-7","LTE","Vodafone - Egypt is Proud - GEM","-","71","21250","2025-11-24 19:43:22.119806"
"39","3a0d6425e3f9d60e","2025-11-24 19:44:09.89109","30","30","2","41","-99","-91","-99","-8","LTE","Vodafone - Egypt is Proud - GEM","-","71","21250","2025-11-24 19:44:10.066798"
"40","3a0d6425e3f9d60e","2025-11-24 19:45:38.289267","30","30","1","31","-109","-93","-109","-16","LTE","Vodafone - Egypt is Proud - GEM","-","70","65535","2025-11-24 19:45:38.464731"
"41","3a0d6425e3f9d60e","2025-11-24 19:54:12.633272","30","30","1","32","-108","0","-108","-15","LTE","Vodafone - Egypt is Proud - GEM","-","70","65535","2025-11-24 19:54:13.77945"
"42","3a0d6425e3f9d60e","2025-11-24 19:55:30.070113","30","30","1","32","-108","-93","-108","-16","LTE","Vodafone - Egypt is Proud - GEM","-","70","65535","2025-11-24 19:55:30.2431"
"43","3a0d6425e3f9d60e","2025-11-24 19:55:48.967506","30","30","2","35","-105","-91","-105","-16","LTE","Vodafone - Egypt is Proud - GEM","-","70","65535","2025-11-24 19:55:49.140287"
"44","3a0d6425e3f9d60e","2025-11-24 20:10:38.048104","30","30","1","34","-106","-91","-106","-14","LTE","Vodafone - Egypt is Proud - GEM","-","70","65535","2025-11-24 20:10:39.097437"
"45","3a0d6425e3f9d60e","2025-11-24 20:22:25.248325","30","30","1","31","-109","-91","-109","-18","LTE","Vodafone - Egypt is Proud - GEM","-","70","65535","2025-11-24 20:22:26.301654"
"46","3a0d6425e3f9d60e","2025-11-24 20:26:45.255252","30","30","1","29","-111","-95","-111","-17","LTE","Vodafone - Egypt is Proud - GEM","-","70","65535","2025-11-24 20:26:45.432449"
"47","3a0d6425e3f9d60e","2025-11-24 20:49:55.357993","30","30","1","34","-106","-93","-106","-14","LTE","Vodafone - Egypt is Proud - GEM","-","71","21250","2025-11-24 20:49:55.535435"
"48","3a0d6425e3f9d60e","2025-11-24 21:21:57.595965","30","30","2","44","-96","-87","-96","-9","LTE","Vodafone - Egypt is Proud - GEM","-","71","21250","2025-11-24 21:21:57.773318"
"49","3a0d6425e3f9d60e","2025-11-24 21:22:38.223018","30","30","1","33","-107","-91","-107","-16","LTE","Vodafone - Egypt is Proud - GEM","-","70","65535","2025-11-24 21:22:38.392877"
"50","3a0d6425e3f9d60e","2025-11-24 21:23:18.728742","30","30","2","42","-98","-87","-98","-11","LTE","Vodafone - Egypt is Proud - GEM","-","71","21250","2025-11-24 21:23:18.897212"
"51","3a0d6425e3f9d60e","2025-11-24 21:24:33.6338","30","30","1","29","-111","-97","-111","-15","LTE","Vodafone - Egypt is Proud - GEM","-","70","65535","2025-11-24 21:24:33.87176"
"52","3a0d6425e3f9d60e","2025-11-24 21:27:43.51418","30","30","3","47","-93","-85","-93","-8","LTE","Vodafone - Egypt is Proud - GEM","-","71","21250","2025-11-24 21:27:43.688503"
